case,distance_mm,original_dice,original_iou,original_false_positive_voxels,original_false_negative_voxels,original_prediction_voxels,filtered_dice,filtered_iou,filtered_false_positive_voxels,filtered_false_negative_voxels,filtered_prediction_voxels,dice_change,iou_change,removed_voxels,largest_component_voxels
dataset8_007,5.0,0.9934687181794067,0.9870221980408207,2769,2574,409129,0.9934723614404811,0.9870293903327666,2766,2574,409126,3.643261074381954e-06,7.192291945901097e-06,3,409126
dataset8_007,10.0,0.9934687181794067,0.9870221980408207,2769,2574,409129,0.9934723614404811,0.9870293903327666,2766,2574,409126,3.643261074381954e-06,7.192291945901097e-06,3,409126
dataset8_007,15.0,0.9934687181794067,0.9870221980408207,2769,2574,409129,0.9934723614404811,0.9870293903327666,2766,2574,409126,3.643261074381954e-06,7.192291945901097e-06,3,409126
dataset8_007,20.0,0.9934687181794067,0.9870221980408207,2769,2574,409129,0.9934723614404811,0.9870293903327666,2766,2574,409126,3.643261074381954e-06,7.192291945901097e-06,3,409126
dataset8_007,30.0,0.9934687181794067,0.9870221980408207,2769,2574,409129,0.9934687181794067,0.9870221980408207,2769,2574,409129,0.0,0.0,0,409126
dataset8_007,40.0,0.9934687181794067,0.9870221980408207,2769,2574,409129,0.9934687181794067,0.9870221980408207,2769,2574,409129,0.0,0.0,0,409126
dataset8_008,5.0,0.9849884922077,0.9704210096593865,13882,4087,603405,0.9849247910491156,0.9702973556679308,13878,4166,603322,-6.370115858445047e-05,-0.00012365399145564115,83,603269
dataset8_008,10.0,0.9849884922077,0.9704210096593865,13882,4087,603405,0.9849901379517182,0.9704242045136545,13880,4087,603403,1.645744018174966e-06,3.1948542680293457e-06,2,603269
dataset8_008,15.0,0.9849884922077,0.9704210096593865,13882,4087,603405,0.9849901379517182,0.9704242045136545,13880,4087,603403,1.645744018174966e-06,3.1948542680293457e-06,2,603269
dataset8_008,20.0,0.9849884922077,0.9704210096593865,13882,4087,603405,0.9849901379517182,0.9704242045136545,13880,4087,603403,1.645744018174966e-06,3.1948542680293457e-06,2,603269
dataset8_008,30.0,0.9849884922077,0.9704210096593865,13882,4087,603405,0.9849901379517182,0.9704242045136545,13880,4087,603403,1.645744018174966e-06,3.1948542680293457e-06,2,603269
dataset8_008,40.0,0.9849884922077,0.9704210096593865,13882,4087,603405,0.9849901379517182,0.9704242045136545,13880,4087,603403,1.645744018174966e-06,3.1948542680293457e-06,2,603269
dataset8_012,5.0,0.9881371264929184,0.976552408794355,2948,5602,359041,0.956427879171361,0.9164942796784549,2795,27642,336848,-0.03170924732155744,-0.06005812911590014,22193,336613
dataset8_012,10.0,0.9881371264929184,0.976552408794355,2948,5602,359041,0.9588735902383152,0.9209963182643717,2807,25990,338512,-0.029263536254603206,-0.05555609052998334,20529,336613
dataset8_012,15.0,0.9881371264929184,0.976552408794355,2948,5602,359041,0.9631797247472916,0.9289746234105346,2893,23002,341586,-0.024957401745626773,-0.0475777853838204,17455,336613
dataset8_012,20.0,0.9881371264929184,0.976552408794355,2948,5602,359041,0.970300916446616,0.94231502382056,2906,18126,346475,-0.017836210046302425,-0.034237384973795026,12566,336613
dataset8_012,30.0,0.9881371264929184,0.976552408794355,2948,5602,359041,0.9843109564258228,0.9691066007388088,2946,8319,356322,-0.0038261700670956245,-0.007445808055546177,2719,336613
dataset8_012,40.0,0.9881371264929184,0.976552408794355,2948,5602,359041,0.9881371264929184,0.976552408794355,2948,5602,359041,0.0,0.0,0,336613
dataset8_016,5.0,0.9887834090652218,0.9778156508994587,10103,3096,591873,0.9890839475968278,0.9784036421674731,9725,3116,591475,0.0003005385316060538,0.0005879912680144539,398,591391
dataset8_016,10.0,0.9887834090652218,0.9778156508994587,10103,3096,591873,0.9888892949508462,0.9780227723954051,9977,3096,591747,0.0001058858856244349,0.00020712149594648288,126,591391
dataset8_016,15.0,0.9887834090652218,0.9778156508994587,10103,3096,591873,0.9888229035295557,0.9778929002457465,10056,3096,591826,3.949446433393344e-05,7.72493462878332e-05,47,591391
dataset8_016,20.0,0.9887834090652218,0.9778156508994587,10103,3096,591873,0.9888229035295557,0.9778929002457465,10056,3096,591826,3.949446433393344e-05,7.72493462878332e-05,47,591391
dataset8_016,30.0,0.9887834090652218,0.9778156508994587,10103,3096,591873,0.9888229035295557,0.9778929002457465,10056,3096,591826,3.949446433393344e-05,7.72493462878332e-05,47,591391
