distance_mm,prediction,original_dice,filtered_dice,dice_change,original_iou,filtered_iou,iou_change,original_hd95,filtered_hd95,hd95_change,original_assd,filtered_assd,assd_change
5.0,LH,0.9692405866891645,0.9801327523753758,0.010892165686211326,0.9413962419807451,0.9616927558866178,0.02029651390587277,35.8387570434455,2.6541742868365104,-33.18458275660898,3.1772046636445928,0.2599260717255128,-2.917278591919079
5.0,RH,0.9892926411831933,0.9872041048053716,-0.0020885363778215373,0.9788436172553558,0.9748895877483584,-0.003954029506997318,0.83134765625,1.8537659707038443,1.0224183144538443,0.15094457797303634,0.19621333824532272,0.045268760272286386
5.0,S,0.9846269626699303,0.9868886190262333,0.0022616563563030434,0.9699073486146527,0.9743739047019189,0.004466556087266094,13.215074654496561,1.4229810799781044,-11.792093574518457,1.062636630975884,0.22585384832056346,-0.8367827826553201
5.0,merged_mean,0.9813917450756979,0.9848052912259829,0.0034135461502849593,0.9640231859102314,0.9704428694835144,0.006419683573283226,16.608300012891736,1.97697377917282,-14.631326233718916,1.4130027247026804,0.22646035094557437,-1.1865423737571064
10.0,LH,0.9692405866891645,0.980076576786198,0.010835990097033451,0.9413962419807451,0.9615829575406567,0.020186715559911726,35.8387570434455,2.654070108335407,-33.184686935110086,3.1772046636445928,0.2611375527538487,-2.916067110890743
10.0,RH,0.9892926411831933,0.9873542592293562,-0.0019383819538370947,0.9788436172553558,0.975164442069587,-0.0036791751857689087,0.83134765625,1.5065306151314686,0.6751829588814686,0.15094457797303634,0.1790226197625489,0.028078041789512564
10.0,S,0.9846269626699303,0.9869776519742367,0.0023506893043064043,0.9699073486146527,0.9745313180547798,0.004623969440127055,13.215074654496561,1.3653772367147032,-11.84969741778186,1.062636630975884,0.2143518626581173,-0.8482847683177666
10.0,merged_mean,0.9813917450756979,0.9848678892969787,0.0034761442212807377,0.9640231859102314,0.9705533532423504,0.0065301673321193,16.608300012891736,1.84199265339386,-14.766307359497876,1.4130027247026804,0.2172306736460259,-1.1957720510566547
15.0,LH,0.9692405866891645,0.9800752004599277,0.010834613770763269,0.9413962419807451,0.9615802897761944,0.02018404779544948,35.8387570434455,2.654070108335407,-33.184686935110086,3.1772046636445928,0.2612449094964073,-2.9159597541481848
15.0,RH,0.9892926411831933,0.9876369087685352,-0.0016557324146580326,0.9788436172553558,0.9756876709360205,-0.0031559463193352897,0.83134765625,1.032495740216922,0.20114808396692185,0.15094457797303634,0.16428466757257923,0.013340089599542922
15.0,S,0.9846269626699303,0.9872481695227501,0.0026212068528198573,0.9699073486146527,0.9750334959778645,0.005126147363211575,13.215074654496561,1.3591981077428403,-11.855876546753722,1.062636630975884,0.19500698716421178,-0.8676296438116721
15.0,merged_mean,0.9813917450756979,0.9850520823842872,0.0036603373085892345,0.9640231859102314,0.9708947692504014,0.006871583340170262,16.608300012891736,1.6819213187650566,-14.92637869412668,1.4130027247026804,0.20588990459264364,-1.2071128201100372
20.0,LH,0.9692405866891645,0.980074522691681,0.010833936002516571,0.9413962419807451,0.9615789890116938,0.020182747030948918,35.8387570434455,2.654070108335407,-33.184686935110086,3.1772046636445928,0.2613364427910191,-2.9158682208535733
20.0,RH,0.9892926411831933,0.9881116548818235,-0.0011809863013697427,0.9788436172553558,0.9765770309633556,-0.002266586292000265,0.83134765625,0.8791066190624593,0.047758962812459296,0.15094457797303634,0.1559657452674729,0.00502116729443659
20.0,S,0.9846269626699303,0.9875172532227292,0.002890290552798924,0.9699073486146527,0.9755428530275763,0.005635504412923494,13.215074654496561,1.3573986283947264,-11.857676026101835,1.062636630975884,0.1797086447029771,-0.8829279862729067
20.0,merged_mean,0.9813917450756979,0.9852997997208983,0.00390805464520035,0.9640231859102314,0.9713605746438136,0.0073373887335823765,16.608300012891736,1.6301917852641978,-14.978108227627537,1.4130027247026804,0.19804800814031678,-1.2149547165623642
30.0,LH,0.9692405866891645,0.9800240564626681,0.010783469773503574,0.9413962419807451,0.9614821870317166,0.020085945050971728,35.8387570434455,2.654070108335407,-33.184686935110086,3.1772046636445928,0.26656894557063204,-2.9106357180739604
30.0,RH,0.9892926411831933,0.9890454146630323,-0.00024722652016091474,0.9788436172553558,0.978362656605109,-0.0004809606502467349,0.83134765625,0.83134765625,0.0,0.15094457797303634,0.14653457269172912,-0.004410005281307179
30.0,S,0.9846269626699303,0.9879553490515675,0.003328386381637179,0.9699073486146527,0.976356781131534,0.006449432516881141,13.215074654496561,1.3369160313814215,-11.878158623115139,1.062636630975884,0.16435982580620015,-0.8982768051696837
30.0,merged_mean,0.9813917450756979,0.9857402619829202,0.0043485169072223695,0.9640231859102314,0.9721948219835146,0.008171636073283247,16.608300012891736,1.6074445986556094,-15.000855414236128,1.4130027247026804,0.19153291657772317,-1.221469808124958
40.0,LH,0.9692405866891645,0.9799765976888506,0.010736010999686055,0.9413962419807451,0.9613912662096499,0.0199950242289049,35.8387570434455,2.654070108335407,-33.184686935110086,3.1772046636445928,0.276157144504758,-2.901047519139835
40.0,RH,0.9892926411831933,0.9893004926675053,7.8514843121269e-06,0.9788436172553558,0.9788590438088122,1.5426553456343585e-05,0.83134765625,0.83134765625,0.0,0.15094457797303634,0.1442824371536376,-0.006662140819398724
